model,source,target,regime,T,ece_temp,ece_platt,ece_raw
electra-base,trec-covid,trec-dl-2019,single,4.770323590325675,0.06330637997605958,0.06328361644349677,0.2497564008116564
electra-base,trec-dl-2020,trec-dl-2019,single,2.8355608448606273,0.1428120988683657,0.1784527906579921,0.2497564008116564
electra-base,webis-touche2020,trec-dl-2019,single,6.095301965363325,0.029886248312302497,0.244469298526246,0.2497564008116564
electra-base,LODO,trec-dl-2019,lodo,4.25187957985507,0.08191284139261798,0.14982901820471553,0.2497564008116564
electra-base,trec-dl-2020,trec-dl-2020,oracle,2.8355608448606273,0.08693590715941601,0.01881360329854352,0.13876716977046266
electra-base,dbpedia-entity,trec-dl-2020,single,6.840410623534309,0.18529246105428235,0.050750379299881306,0.13876716977046266
electra-base,trec-covid,trec-dl-2020,single,4.770323590325675,0.14152922256706552,0.14155591389774896,0.13876716977046266
electra-base,trec-dl-2019,trec-dl-2020,single,5.92444572758636,0.1645403833738147,0.18165593488350895,0.13876716977046266
electra-base,webis-touche2020,trec-dl-2020,single,6.095301965363325,0.16752584912787008,0.4269224482043157,0.13876716977046266
electra-base,LODO,trec-dl-2020,lodo,5.890567962252717,0.16402770225070035,0.11307798712795673,0.13876716977046266
electra-base,webis-touche2020,webis-touche2020,oracle,6.095301965363325,0.24919549577266165,0.06829925104515785,0.2830240334026844
electra-base,dbpedia-entity,webis-touche2020,single,6.840410623534309,0.25294960135558864,0.40063636531247476,0.2830240334026844
electra-base,trec-covid,webis-touche2020,single,4.770323590325675,0.24161538664462434,0.2415980708258465,0.2830240334026844
electra-base,trec-dl-2019,webis-touche2020,single,5.92444572758636,0.2481875297783306,0.21223411939731557,0.2830240334026844
electra-base,trec-dl-2020,webis-touche2020,single,2.8355608448606273,0.21343941930330024,0.35881971550372427,0.2830240334026844
electra-base,LODO,webis-touche2020,lodo,4.624755877718932,0.23785999272042105,0.3363290902060045,0.2830240334026844
